"X","promenna","p.value","AIC","AICc","BIC","AR","I","MA","lag","sAIC","sAICc","sBIC"
"X2022...2...14.8","PC1",0.0825,351.387609387,351.785713652,371.694579764,2,0,1,"regresor","352.40784997317","352.690868841094","369.330325287115"
"X2022...2...14.9","PC1",0.0613,349.378106723,349.778106723,369.657490844,2,0,1,"delay","351.816762229978","352.101122419551","368.71624899768"
"X2022...2...7.15","cena.nafty",0.0789,351.323339037,351.85667237,375.014804476,2,0,2,"regresor","352.300850452256","352.698954717658","372.60782082899"
"X2022...2...7.16","cena.nafty",0.077,350.712439557,351.248324724,374.371721032,2,0,2,"delay","351.69802613034","352.09802613034","371.977410251583"
"X2022...2...7.17","cena.nafty",0.0639,348.747293244,349.283178411,372.406574718,2,0,2,"posun_vpred","349.977716839743","350.377716839743","370.257100960985"
"X2022...2...14.10","PC1",0.0836,351.279455633,351.812788966,374.970921072,2,0,2,"regresor","352.300850452256","352.698954717658","372.60782082899"
"X2022...2...14.11","PC1",0.0856,350.718293297,351.254178465,374.377574772,2,0,2,"delay","351.69802613034","352.09802613034","371.977410251583"
"X2022...2...7.18","cena.nafty",0.0948,352.465302949,353.154298165,379.541263452,2,0,3,"regresor","353.238748391021","353.772081724354","376.930213830545"
"X2022...2...7.19","cena.nafty",0.0946,351.857683441,352.549991134,378.89686227,2,0,3,"delay","352.635265750682","353.171150918146","376.294547225466"
"X2022...2...7.20","cena.nafty",0.0697,350.10271583,350.795023523,377.141894659,2,0,3,"posun_vpred","351.35556452845","351.891449695915","375.014846003234"
"X2022...2...14.12","PC1",0.0888,352.331633634,353.020628849,379.407594136,2,0,3,"regresor","353.238748391021","353.772081724354","376.930213830545"
"X2022...2...14.13","PC1",0.0918,351.781734094,352.474041787,378.820912923,2,0,3,"delay","352.635265750682","353.171150918146","376.294547225466"
"X2022...2...7.21","cena.nafty",0.0572,351.660165642,351.945879927,368.53655768,2,1,1,"posun_vpred","353.227035593889","353.416609053605","366.728149224626"
"X2022...2...9.5","cena.nemovitosti",0.0976,351.868008372,352.153722658,368.744400411,2,1,1,"posun_vpred","353.227035593889","353.416609053605","366.728149224626"
"X2022...2...7.22","cena.nafty",0.0347,351.349106696,351.751020571,371.600777142,2,1,2,"posun_vpred","352.328679779804","352.614394065518","369.205071818224"
"X2022...2...1.5","inflace",0.0798,354.803246124,355.339131291,378.462527598,2,1,3,"regresor","355.832730515975","356.232730515975","376.112114637218"
"X2022...2...1.6","inflace",0.0851,354.238093117,354.776554655,377.865041971,2,1,3,"delay","355.17438094818","355.576294823779","375.426051394285"
"X2022...2...7.23","cena.nafty",0.0539,351.506589323,352.039922656,375.198054762,3,0,1,"regresor","354.237174965548","354.635279230951","374.544145342283"
