"","x"
"1",0.284344279958952
"2",0.288497759077438
"3",0.0329208296997951
"4",0.415805313991317
"5",0.177764259632589
"6",0.15126186328811
"7",0.306614901282149
"8",-0.249569904609021
"9",0.67698910389196
"10",0.130471819456845
"11",0.264918651153145
"12",-0.780018841806019
"13",0.284344279958952
"14",0.0884977590774377
"15",0.132920829699795
"16",0.215805313991317
"17",0.577764259632589
"18",0.0512618632881099
"19",0.306614901282149
"20",0.250430095390979
"21",1.07698910389196
"22",-0.0695281805431553
"23",0.0649186511531447
"24",-0.0800188418060195
"25",0.184344279958952
"26",0.0884977590774377
"27",0.132920829699795
"28",0.515805313991317
"29",0.277764259632589
"30",0.15126186328811
"31",0.506614901282149
"32",-0.149569904609021
"33",-0.32301089610804
"34",0.130471819456845
"35",0.364918651153145
"36",-0.480018841806019
"37",0.384344279958952
"38",0.488497759077438
"39",0.732920829699795
"40",0.415805313991317
"41",0.277764259632589
"42",0.15126186328811
"43",0.606614901282149
"44",0.250430095390979
"45",0.77698910389196
"46",1.13047181945684
"47",0.664918651153145
"48",1.51998115819398
"49",0.384344279958952
"50",0.0884977590774377
"51",0.432920829699795
"52",0.515805313991317
"53",0.177764259632589
"54",0.25126186328811
"55",0.206614901282149
"56",0.350430095390979
"57",0.17698910389196
"58",-0.269528180543155
"59",-0.135081348846855
"60",0.0199811581939806
"61",0.184344279958952
"62",0.388497759077438
"63",-0.0670791703002049
"64",0.0158053139913166
"65",-0.0222357403674109
"66",-0.64873813671189
"67",0.106614901282149
"68",0.150430095390979
"69",-0.0230108961080399
"70",0.430471819456845
"71",0.364918651153145
"72",-0.280018841806019
"73",0.0843442799589521
"74",0.488497759077438
"75",0.332920829699795
"76",0.115805313991317
"77",-0.0222357403674109
"78",0.0512618632881099
"79",0.00661490128214925
"80",0.250430095390979
"81",-0.0230108961080399
"82",0.430471819456845
"83",0.664918651153145
"84",5.51998115819398
"85",0.184344279958952
"86",0.288497759077438
"87",0.332920829699795
"88",0.515805313991317
"89",-0.222235740367411
"90",0.0512618632881099
"91",0.00661490128214925
"92",0.350430095390979
"93",0.47698910389196
"94",0.630471819456845
"95",0.564918651153145
"96",0.319981158193981
"97",0.284344279958952
"98",0.388497759077438
"99",0.0329208296997951
"100",0.215805313991317
"101",0.177764259632589
"102",-0.34873813671189
"103",0.206614901282149
"104",0.450430095390979
"105",0.37698910389196
"106",0.0304718194568446
"107",0.264918651153145
"108",-0.180018841806019
"109",0.184344279958952
"110",0.288497759077438
"111",0.132920829699795
"112",-0.184194686008683
"113",0.377764259632589
"114",-0.44873813671189
"115",0.106614901282149
"116",0.150430095390979
"117",0.37698910389196
"118",0.130471819456845
"119",0.564918651153145
"120",-1.38001884180602
"121",0.284344279958952
"122",0.188497759077438
"123",0.0329208296997951
"124",0.115805313991317
"125",-0.0222357403674109
"126",-0.0487381367118901
"127",0.206614901282149
"128",0.350430095390979
"129",0.37698910389196
"130",0.0304718194568446
"131",0.0649186511531447
"132",-1.38001884180602
"133",0.284344279958952
"134",0.288497759077438
"135",0.332920829699795
"136",0.315805313991317
"137",0.0777642596325891
"138",-0.34873813671189
"139",0.106614901282149
"140",0.350430095390979
"141",0.17698910389196
"142",-0.169528180543155
"143",0.0649186511531447
"144",-0.880018841806019
"145",0.184344279958952
"146",0.0884977590774377
"147",0.632920829699795
"148",-0.184194686008683
"149",0.0777642596325891
"150",0.0512618632881099
"151",0.106614901282149
"152",0.350430095390979
"153",0.47698910389196
"154",0.530471819456845
"155",0.464918651153145
"156",-0.680018841806019
"157",0.484344279958952
"158",0.188497759077438
"159",0.0329208296997951
"160",0.215805313991317
"161",-0.0222357403674109
"162",0.25126186328811
"163",0.206614901282149
"164",0.450430095390979
"165",0.67698910389196
"166",0.330471819456845
"167",0.264918651153145
"168",-0.880018841806019
"169",0.0843442799589521
"170",0.0884977590774377
"171",0.332920829699795
"172",0.515805313991317
"173",0.377764259632589
"174",-0.0487381367118901
"175",0.406614901282149
"176",0.250430095390979
"177",0.57698910389196
"178",0.130471819456845
"179",0.264918651153145
"180",-0.480018841806019
"181",0.284344279958952
"182",0.388497759077438
"183",0.132920829699795
"184",0.715805313991317
"185",0.177764259632589
"186",0.15126186328811
"187",0.406614901282149
"188",-0.0495699046090213
"189",0.67698910389196
"190",0.530471819456845
"191",0.364918651153145
"192",0.0199811581939806
"193",0.384344279958952
"194",0.0884977590774377
"195",-0.167079170300205
"196",0.415805313991317
"197",0.577764259632589
"198",0.15126186328811
"199",0.306614901282149
"200",-0.0495699046090213
"201",0.37698910389196
"202",0.230471819456845
"203",-0.0350813488468553
"204",-0.180018841806019
"205",0.284344279958952
"206",0.388497759077438
"207",0.532920829699795
"208",0.215805313991317
"209",0.477764259632589
"210",0.75126186328811
"211",1.00661490128215
"212",0.750430095390979
"213",1.17698910389196
"214",0.430471819456845
"215",0.564918651153145
"216",2.91998115819398
"217",1.38434427995895
"218",1.88849775907744
"219",1.8329208296998
"220",1.81580531399132
"221",1.57776425963259
"222",1.05126186328811
"223",0.706614901282149
"224",1.35043009539098
"225",-1.22301089610804
"226",1.43047181945684
"227",0.164918651153145
"228",4.51998115819398
"229",0.684344279958952
