"","inflace","inflation","prices","cena.elektriny","cena.plynu","cena.zlata","cena.nafty","cena.benzinu","cena.nemovitosti","cena.bydleni","cena","cena.ropy","nakup.zlata","PC1","PC2","PC3","PC4","PC5"
"2004-01-01",22.5825470955413,40.0967385589468,-18.4770689875199,-28.0317191468602,-3.66414728148096,-12.5398504592154,0.625844433019657,-2.88189147567875,-22.0988104484464,-12.3209594980971,-1.32493462945467,-17.4182599501339,53.9490580629545,-2.73387732172719,1.20136497403561,-3.96061403784402,-6.04213373749459,0.143463513843268
"2004-01-02",-21.2058440285915,-6.42440385579058,8.16480295289775,23.8643002965037,-1.51132917690054,-13.6173506777784,-0.11024508773915,-3.33606508658929,-16.8312996708255,-6.65557998367967,-3.06011116902621,-15.0512212281252,-36.6702856448961,-1.72595103057402,0.147763725494421,5.49075213242134,1.46688937954085,-0.195329788098948
"2004-01-03",12.3194458564111,-7.47025459009802,8.94652077153576,-25.9955801881443,-0.676678119751145,-15.1280495610232,-4.63550040489168,-6.87073956176658,82.7318354463682,-9.24790848528914,0.124904991537271,61.4060154768894,38.4614924788671,3.11201809944527,-4.09021976873061,-9.80723225711253,-2.41438500932538,-1.37614471805357
"2004-01-04",-23.5653641459218,-9.11937069290799,-8.6275215051223,16.3438332515808,-0.325016775556641,83.0419525501499,-0.145782938342718,-4.08233601150839,-14.1594524211694,-8.85268930388312,0.218060618963385,-22.6764658329573,-30.4903376145461,0.430113687105452,-0.256458911274579,6.02852245884004,5.4243074004058,2.01089169217535
"2004-01-05",34.6550960820771,-8.76848259618646,-27.7805093181208,26.3148177872555,-1.92071761898999,-11.5775442527337,-0.18237321017421,32.0745024995416,-11.2086263451521,83.3846504293548,-3.32036168779771,-23.0220930548461,-26.8105793864105,-0.107339830547391,9.23215831560623,-1.26932538810662,6.41904034472809,-0.838336655486993
"2004-01-06",-19.7994057724641,-9.68897301293689,64.1899166018192,-22.9146167182344,1.56065578108154,-11.1072497512022,-2.14911227346997,-3.66436299257154,-9.11879820743764,-10.2661735528652,3.56304078077323,16.7676903547707,-22.3102007446703,2.10475609850672,-6.98178977647496,3.77580464077459,-0.19247765143388,-3.34404218016691
"2004-01-07",-7.88547601128725,-9.81999151997409,1.37085094207021,-21.8808861544812,1.98939140655724,-17.3211577723812,11.989413784323,-6.50848562531748,-10.6079160091546,-10.7064577027446,2.49907275296142,-26.7583277601441,-16.6519297496891,-0.0834877980798137,-1.20885350946658,2.40034719852751,-0.887460988443945,-0.824149854248806
"2004-01-08",-10.2196083595583,-12.6439885649965,-34.7792889017753,71.2607559875583,1.49051931318152,-17.0636109859271,-1.83321875524508,-2.53856847873542,-5.21766981782296,-13.849801603665,0.310160261401499,-25.9319317314276,41.1811004845495,-3.99218678897822,5.37537227831194,0.0106183283948695,-3.25858375449988,7.57790960552792
"2004-01-09",-16.7642667325781,-14.9416706426458,-6.35046928449361,-21.4923723453632,-7.1136151651651,-16.1744797049857,-0.392691055968355,-2.6739088578163,-4.93268323564268,-13.2563044814827,2.96335186097451,44.8944745227395,-9.03851616229808,1.96371420842057,-2.32752116669955,0.0405868781407158,-0.725205149686757,-1.22464541325869
"2004-01-10",21.83374836964,-17.5947106957742,43.0475939524792,-19.1133425250147,43.5468409272482,54.4075703328535,-0.666721268357366,0.168146167405604,-3.94972891558189,-13.788640441987,2.95493900456221,67.9246078811874,-8.48216315627412,6.35115316221363,-7.51701164668436,-1.07313313446668,3.59648210842388,1.83881273172279
