date,inflace,inflation,prices,cena elektriny,cena plynu,cena zlata,cena nafty,d p  mzda,p mzda,d p plat,p plat,mzda,plat
11/01/2011,35,11,16,2,20,39,5,17,13,24,21,42,42
12/01/2011,34,2,13,0,21,44,5,19,6,17,7,42,32
01/01/2012,42,7,17,0,31,33,6,14,12,22,14,51,44
02/01/2012,35,7,17,3,23,38,7,20,12,15,8,48,40
03/01/2012,40,6,16,2,23,32,5,22,19,23,18,52,47
04/01/2012,33,6,19,0,23,21,4,17,12,22,14,45,37
05/01/2012,51,5,22,2,23,8,6,13,10,19,12,42,41
06/01/2012,36,2,16,0,10,21,5,14,13,17,6,41,39
07/01/2012,16,5,20,0,15,15,8,10,0,15,6,38,37
08/01/2012,10,5,21,2,15,15,7,16,14,18,7,40,39
09/01/2012,20,3,15,2,30,18,5,16,14,28,11,41,41
10/01/2012,26,4,16,5,25,16,4,15,0,22,13,39,41
11/01/2012,35,8,14,3,25,17,6,16,0,18,8,40,41
12/01/2012,28,7,16,4,18,24,4,17,15,19,9,36,32
01/01/2013,49,4,16,4,23,22,3,23,11,20,5,53,43
02/01/2013,29,0,15,0,20,23,3,16,23,20,11,49,46
03/01/2013,29,5,18,1,17,20,5,16,9,21,11,48,40
04/01/2013,32,8,15,0,10,36,3,17,12,19,5,46,41
05/01/2013,37,3,14,1,13,23,3,14,11,18,9,42,39
06/01/2013,23,4,16,0,6,31,6,10,10,15,12,36,37
07/01/2013,11,4,14,4,21,20,5,15,9,23,5,48,44
08/01/2013,13,4,21,3,13,20,8,9,13,18,11,44,34
09/01/2013,22,3,17,3,21,17,3,13,9,22,7,44,46
10/01/2013,20,4,16,0,21,23,3,13,12,19,9,46,41
11/01/2013,34,8,16,2,17,22,4,15,18,18,9,44,42
12/01/2013,27,5,17,2,29,26,2,17,16,13,8,37,33
01/01/2014,43,4,14,1,20,23,2,17,14,21,10,48,44
02/01/2014,29,5,16,4,19,21,4,17,18,21,6,45,46
03/01/2014,27,5,14,3,16,22,3,20,21,21,11,50,45
04/01/2014,27,6,15,2,27,15,3,13,12,15,10,49,41
05/01/2014,32,9,15,2,18,16,3,15,18,16,11,42,50
06/01/2014,26,5,17,2,7,13,6,15,15,19,7,44,48
07/01/2014,10,0,20,2,13,20,9,15,12,17,13,47,49
08/01/2014,14,3,19,3,12,19,6,14,8,18,4,42,49
09/01/2014,14,7,14,0,12,12,4,16,14,21,9,50,50
10/01/2014,19,5,14,2,23,15,3,9,9,22,8,48,55
11/01/2014,22,6,14,1,22,26,3,15,19,22,9,49,50
12/01/2014,22,3,18,1,11,21,6,11,17,19,13,49,47
01/01/2015,41,8,18,1,19,25,7,20,18,23,16,69,58
