"time","value"
1997,1.2
1997.08333333333,0.3
1997.16666666667,0.1
1997.25,0.6
1997.33333333333,0.1
1997.41666666667,1.2
1997.5,3.5
1997.58333333333,0.7
1997.66666666667,0.6
1997.75,0.4
1997.83333333333,0.4
1997.91666666667,0.5
1998,4
1998.08333333333,0.6
1998.16666666667,0.1
1998.25,0.3
1998.33333333333,0.1
1998.41666666667,0.3
1998.5,1.9
1998.58333333333,-0.2
1998.66666666667,0.1
1998.75,-0.2
1998.83333333333,-0.2
1998.91666666667,-0.2
1999,0.8
1999.08333333333,0
1999.16666666667,-0.2
1999.25,0.3
1999.33333333333,-0.1
1999.41666666667,0.2
1999.5,0.8
1999.58333333333,0.1
1999.66666666667,-0.1
1999.75,0
1999.83333333333,0.2
1999.91666666667,0.5
2000,1.7
2000.08333333333,0.2
2000.16666666667,0
2000.25,-0.1
2000.33333333333,0.2
2000.41666666667,0.6
2000.5,0.6
2000.58333333333,0.2
2000.66666666667,0
2000.75,0.3
2000.83333333333,0.1
2000.91666666667,0.2
2001,1.9
2001.08333333333,0
2001.16666666667,0.1
2001.25,0.4
2001.33333333333,0.6
2001.41666666667,1
2001.5,1
2001.58333333333,-0.2
2001.66666666667,-0.7
2001.75,0
2001.83333333333,-0.1
2001.91666666667,0.1
2002,1.5
2002.08333333333,0.2
2002.16666666667,-0.1
2002.25,-0.1
2002.33333333333,-0.1
2002.41666666667,-0.3
2002.5,0.5
2002.58333333333,-0.2
2002.66666666667,-0.5
2002.75,-0.3
2002.83333333333,-0.2
2002.91666666667,0.2
2003,0.6
2003.08333333333,0.2
2003.16666666667,-0.1
2003.25,0.2
2003.33333333333,0
2003.41666666667,0
2003.5,0.1
2003.58333333333,-0.2
2003.66666666667,-0.5
2003.75,0.1
2003.83333333333,0.5
2003.91666666667,0.2
2004,1.8
2004.08333333333,0.2
2004.16666666667,0.1
2004.25,0
2004.33333333333,0.4
2004.41666666667,0.2
2004.5,0.4
2004.58333333333,0
2004.66666666667,-0.8
2004.75,0.5
2004.83333333333,-0.1
2004.91666666667,0.1
2005,0.7
2005.08333333333,0.2
2005.16666666667,-0.1
2005.25,0.1
2005.33333333333,0.2
2005.41666666667,0.6
2005.5,0.3
2005.58333333333,0
2005.66666666667,-0.3
2005.75,0.9
2005.83333333333,-0.3
2005.91666666667,-0.1
2006,1.4
2006.08333333333,0.1
2006.16666666667,-0.1
2006.25,0.1
2006.33333333333,0.5
2006.41666666667,0.3
2006.5,0.4
2006.58333333333,0.2
2006.66666666667,-0.7
2006.75,-0.5
2006.83333333333,-0.1
2006.91666666667,0.2
2007,1
2007.08333333333,0.3
2007.16666666667,0.3
2007.25,0.7
2007.33333333333,0.4
2007.41666666667,0.3
2007.5,0.4
2007.58333333333,0.3
2007.66666666667,-0.3
2007.75,0.6
2007.83333333333,0.9
2007.91666666667,0.5
2008,3
2008.08333333333,0.3
2008.16666666667,-0.1
2008.25,0.4
2008.33333333333,0.5
2008.41666666667,0.2
2008.5,0.5
2008.58333333333,-0.1
2008.66666666667,-0.2
2008.75,0
2008.83333333333,-0.5
2008.91666666667,-0.3
2009,1.5
2009.08333333333,0.1
2009.16666666667,0.2
2009.25,-0.1
2009.33333333333,0
2009.41666666667,0
2009.5,-0.4
2009.58333333333,-0.2
2009.66666666667,-0.4
2009.75,-0.2
2009.83333333333,0.2
2009.91666666667,0.2
2010,1.2
2010.08333333333,0
2010.16666666667,0.3
2010.25,0.3
2010.33333333333,0.1
2010.41666666667,0
2010.5,0.3
2010.58333333333,-0.3
2010.66666666667,-0.3
2010.75,-0.2
2010.83333333333,0.2
2010.91666666667,0.5
2011,7
2011.08333333333,0.1
2011.16666666667,0.1
2011.25,0.3
2011.33333333333,0.5
2011.41666666667,-0.2
2011.5,0.3
2011.58333333333,-0.3
2011.66666666667,-0.2
2011.75,0.3
2011.83333333333,0.4
2011.91666666667,0.4
2012,1.8
2012.08333333333,0.2
2012.16666666667,0.2
2012.25,0
2012.33333333333,0.2
2012.41666666667,0.2
2012.5,-0.1
2012.58333333333,-0.1
2012.66666666667,-0.1
2012.75,0.2
2012.83333333333,-0.2
2012.91666666667,0.1
2013,1.3
2013.08333333333,0.1
2013.16666666667,0.1
2013.25,0.1
2013.33333333333,-0.2
2013.41666666667,0.4
2013.5,-0.2
2013.58333333333,-0.2
2013.66666666667,-0.4
2013.75,0.2
2013.83333333333,-0.1
2013.91666666667,0.4
2014,0.1
2014.08333333333,0.2
2014.16666666667,0
2014.25,0
2014.33333333333,0.1
2014.41666666667,0
2014.5,0.2
2014.58333333333,-0.1
2014.66666666667,-0.2
2014.75,0.2
2014.83333333333,-0.2
2014.91666666667,-0.1
2015,0.1
2015.08333333333,0.2
2015.16666666667,0.1
2015.25,0.3
2015.33333333333,0.3
2015.41666666667,0.1
2015.5,-0.1
2015.58333333333,-0.2
2015.66666666667,-0.2
2015.75,0
2015.83333333333,-0.4
2015.91666666667,-0.1
2016,0.6
2016.08333333333,0.1
2016.16666666667,-0.1
2016.25,0.6
2016.33333333333,-0.2
2016.41666666667,0.1
2016.5,0.3
2016.58333333333,-0.2
2016.66666666667,-0.2
2016.75,0.3
2016.83333333333,0.3
2016.91666666667,0.3
2017,0.8
2017.08333333333,0.4
2017.16666666667,0
2017.25,0
2017.33333333333,0.2
2017.41666666667,0
2017.5,0.5
2017.58333333333,-0.1
2017.66666666667,-0.1
2017.75,0.5
2017.83333333333,0.1
2017.91666666667,0.1
2018,0.6
2018.08333333333,0
2018.16666666667,-0.1
2018.25,0.3
2018.33333333333,0.5
2018.41666666667,0.4
2018.5,0.2
2018.58333333333,0.1
2018.66666666667,-0.3
2018.75,0.4
2018.83333333333,-0.1
2018.91666666667,0.1
2019,1
2019.08333333333,0.2
2019.16666666667,0.2
2019.25,0.1
2019.33333333333,0.7
2019.41666666667,0.2
2019.5,0.4
2019.58333333333,0.1
2019.66666666667,-0.6
2019.75,0.5
2019.83333333333,0.3
2019.91666666667,0.2
2020,1.5
2020.08333333333,0.3
2020.16666666667,-0.1
2020.25,-0.2
2020.33333333333,0.4
2020.41666666667,0.6
2020.5,0.4
2020.58333333333,0
2020.66666666667,-0.6
2020.75,0.2
2020.83333333333,0
2020.91666666667,-0.2
2021,1.3
2021.08333333333,0.2
2021.16666666667,0.2
2021.25,0.5
2021.33333333333,0.2
2021.41666666667,0.5
2021.5,1
2021.58333333333,0.7
2021.66666666667,0.2
2021.75,1
2021.83333333333,0.2
2021.91666666667,0.4
2022,4.4
2022.08333333333,1.3
2022.16666666667,1.7
2022.25,1.8
2022.33333333333,1.8
2022.41666666667,1.6
2022.5,1.3
2022.58333333333,0.4
2022.66666666667,0.8
2022.75,-1.4
2022.83333333333,1.2
2022.91666666667,0
2023,6
2023.08333333333,0.6
